measure,time,time_type,Ethnicity,ethnicity_type,legislation_type,geography,geography_type,number_of_stop_and_searches,total_number_of_stop_and_search_carried_out_in_this_year_in_this_area_excluding_cases_where_the_ethnicity_was_unreported,population_by_ethnicity,rate_per_1_000_population_by_ethnicity,proportion_of_total_stop_and_searches_of_this_ethnicity_in_the_financial_year_excludes_unreported
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Derbyshire,Police Force Area,252,6211,15599,16.15,4.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Derbyshire,Police Force Area,224,5291,15599,14.36,4.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Derbyshire,Police Force Area,217,3534,15599,13.91,6.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Derbyshire,Police Force Area,99,1724,15599,6.35,5.7
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Derbyshire,Police Force Area,56,1084,15599,3.59,5.2
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Derbyshire,Police Force Area,104,1431,15599,6.67,7.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,7,24411,668,10.48,0
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,9,20731,668,13.47,0
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,13,21875,668,19.46,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,10,22967,668,14.97,0
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,10,19460,668,14.97,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,9,16876,668,13.47,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,9,13107,668,13.47,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,15,13125,668,22.46,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,6,8010,668,8.98,0.1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,4,5802,668,5.99,0.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,1,4744,668,1.5,0
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,6,4445,668,8.98,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Devon & Cornwall,Police Force Area,3,4088,668,4.49,0.1
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,9,6543,460,19.57,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,14,7786,460,30.43,0.2
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,6,6426,460,13.04,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,7,6561,460,15.22,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,10,6728,460,21.74,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,10,6924,460,21.74,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,9,7549,460,19.57,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,12,8329,460,26.09,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,15,6985,460,32.61,0.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,8,4278,460,17.39,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,2,2895,460,4.35,0.1
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,3,2117,460,6.52,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Dorset,Police Force Area,7,2071,460,15.22,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,15,8302,608,24.67,0.2
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,4,7950,608,6.58,0.1
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,3,5249,608,4.93,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,3,5835,608,4.93,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,5,4902,608,8.22,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,3,5272,608,4.93,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,8,8528,608,13.16,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,8,12058,608,13.16,0.1
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,4,8189,608,6.58,0
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,5,4433,608,8.22,0.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,1,1705,608,1.64,0.1
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,1,1455,608,1.64,0.1
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Durham,Police Force Area,0,1711,608,0,0
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,8,8384,318,25.16,0.1
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,1,7049,318,3.14,0
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,9,10141,318,28.3,0.1
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,10,12048,318,31.45,0.1
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,8,14203,318,25.16,0.1
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,13,12957,318,40.88,0.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,8,13125,318,25.16,0.1
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,15,8988,318,47.17,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,2,5156,318,6.29,0
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,4,3632,318,12.58,0.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,0,2292,318,NA,0
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,1,2007,318,3.14,0
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Dyfed-Powys,Police Force Area,13,2648,318,40.88,0.5
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,53,9604,5055,10.48,0.6
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,123,13588,5055,24.33,0.9
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,99,12318,5055,19.58,0.8
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,88,9359,5055,17.41,0.9
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,26,5803,5055,5.14,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,19,3629,5055,3.76,0.5
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,25,4326,5055,4.95,0.6
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,52,8726,5055,10.29,0.6
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,27,4835,5055,5.34,0.6
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,13,2200,5055,2.57,0.6
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,33,3148,5055,6.53,1
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,27,3004,5055,5.34,0.9
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Essex,Police Force Area,42,7452,5055,8.31,0.6
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,13,4837,942,13.8,0.3
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,23,5554,942,24.42,0.4
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,11,6227,942,11.68,0.2
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,14,5464,942,14.86,0.3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,19,4447,942,20.17,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,11,5062,942,11.68,0.2
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,14,4701,942,14.86,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,7,4445,942,7.43,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,3,2667,942,3.18,0.1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,4,2018,942,4.25,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,13,1720,942,13.8,0.8
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,7,1659,942,7.43,0.4
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Gloucestershire,Police Force Area,5,1765,942,5.31,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,2706,45408,130012,20.81,6
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,3087,50038,130012,23.74,6.2
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,3287,52329,130012,25.28,6.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,2629,41562,130012,20.22,6.3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,3309,48912,130012,25.45,6.8
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,3104,50524,130012,23.87,6.1
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,2285,32968,130012,17.58,6.9
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,2117,26812,130012,16.28,7.9
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,1116,13624,130012,8.58,8.2
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,430,4761,130012,3.31,9
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,226,2502,130012,1.74,9
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,265,2304,130012,2.04,11.5
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Greater Manchester,Police Force Area,336,4214,130012,2.58,8
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,83,5627,3407,24.36,1.5
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,105,7275,3407,30.82,1.4
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,88,6859,3407,25.83,1.3
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,302,9022,3407,88.64,3.3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,244,8018,3407,71.62,3
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,200,7188,3407,58.7,2.8
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,158,8875,3407,46.38,1.8
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,56,3947,3407,16.44,1.4
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,36,2086,3407,10.57,1.7
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,2,1092,3407,0.59,0.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,35,1310,3407,10.27,2.7
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,19,667,3407,5.58,2.8
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Gwent,Police Force Area,53,1850,3407,15.56,2.9
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,68,23137,5441,12.5,0.3
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,105,24400,5441,19.3,0.4
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,107,25589,5441,19.67,0.4
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,73,21096,5441,13.42,0.3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,94,26013,5441,17.28,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,96,31212,5441,17.64,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,84,30422,5441,15.44,0.3
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,68,27917,5441,12.5,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,55,17375,5441,10.11,0.3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,43,10238,5441,7.9,0.4
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,34,7762,5441,6.25,0.4
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,20,7207,5441,3.68,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Hampshire,Police Force Area,49,7072,5441,9.01,0.7
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,244,10276,12302,19.83,2.4
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,354,11788,12302,28.78,3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,609,18796,12302,49.5,3.2
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,381,12847,12302,30.97,3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,347,10450,12302,28.21,3.3
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,265,9329,12302,21.54,2.8
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,388,14876,12302,31.54,2.6
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,705,22302,12302,57.31,3.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,315,10429,12302,25.61,3
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,226,7162,12302,18.37,3.2
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,176,6420,12302,14.31,2.7
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,167,5755,12302,13.58,2.9
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Hertfordshire,Police Force Area,125,5601,12302,10.16,2.2
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,31,9856,2335,13.28,0.3
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,38,11689,2335,16.27,0.3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,58,11077,2335,24.84,0.5
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,22,9485,2335,9.42,0.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,38,8907,2335,16.27,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,60,10363,2335,25.7,0.6
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,49,10317,2335,20.99,0.5
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,39,6512,2335,16.7,0.6
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,25,3154,2335,10.71,0.8
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,1,739,2335,0.43,0.1
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,5,716,2335,2.14,0.7
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,5,1011,2335,2.14,0.5
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Humberside,Police Force Area,4,1278,2335,1.71,0.3
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,35,13888,3922,8.92,0.3
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,45,15487,3922,11.47,0.3
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,28,17225,3922,7.14,0.2
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,39,14764,3922,9.94,0.3
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,44,11595,3922,11.22,0.4
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,25,8144,3922,6.37,0.3
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,12,7996,3922,3.06,0.2
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,20,8969,3922,5.1,0.2
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,94,8989,3922,23.97,1
Number of stops and searches carried out (excluding vehicle only searches),2015/16,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,27,6845,3922,6.88,0.4
Number of stops and searches carried out (excluding vehicle only searches),2016/17,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,27,6328,3922,6.88,0.4
Number of stops and searches carried out (excluding vehicle only searches),2017/18,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,19,5830,3922,4.84,0.3
Number of stops and searches carried out (excluding vehicle only searches),2018/19,Financial year,Pakistani,ONS 2001 16+1,All,Kent,Police Force Area,31,5404,3922,7.9,0.6
Number of stops and searches carried out (excluding vehicle only searches),2006/07,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,883,17874,54127,16.31,4.9
Number of stops and searches carried out (excluding vehicle only searches),2007/08,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,1086,22878,54127,20.06,4.7
Number of stops and searches carried out (excluding vehicle only searches),2008/09,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,1263,22899,54127,23.33,5.5
Number of stops and searches carried out (excluding vehicle only searches),2009/10,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,1640,26384,54127,30.3,6.2
Number of stops and searches carried out (excluding vehicle only searches),2010/11,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,1768,26255,54127,32.66,6.7
Number of stops and searches carried out (excluding vehicle only searches),2011/12,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,1288,20851,54127,23.8,6.2
Number of stops and searches carried out (excluding vehicle only searches),2012/13,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,936,18152,54127,17.29,5.2
Number of stops and searches carried out (excluding vehicle only searches),2013/14,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,828,15748,54127,15.3,5.3
Number of stops and searches carried out (excluding vehicle only searches),2014/15,Financial year,Pakistani,ONS 2001 16+1,All,Lancashire,Police Force Area,444,7723,54127,8.2,5.7
